country,year,age,sex,suicides/100k pop
Albania,2003,25-34 years,female,4.04
Albania,2003,35-54 years,female,3.41
Albania,2003,75+ years,male,3.06
Albania,2003,5-14 years,male,1.28
Albania,2003,5-14 years,female,0.0
Albania,2004,75+ years,male,11.26
Albania,2004,35-54 years,male,9.95
Albania,2004,25-34 years,male,7.85
Albania,2004,15-24 years,female,6.84
Albania,2004,15-24 years,male,6.63
Albania,2004,75+ years,female,5.89
Albania,2004,25-34 years,female,4.95
Albania,2004,55-74 years,male,4.83
Albania,2004,35-54 years,female,4.34
Albania,2004,55-74 years,female,1.47
Albania,2004,5-14 years,female,1.05
Albania,2004,5-14 years,male,0.33
Albania,2005,15-24 years,female,0.0
Albania,2005,25-34 years,female,0.0
Albania,2005,35-54 years,female,0.0
Albania,2005,5-14 years,female,0.0
Albania,2005,55-74 years,female,0.0
Albania,2005,75+ years,female,0.0
Albania,2005,15-24 years,male,0.0
Albania,2005,25-34 years,male,0.0
Albania,2005,35-54 years,male,0.0
Albania,2005,5-14 years,male,0.0
Albania,2005,55-74 years,male,0.0
Albania,2005,75+ years,male,0.0
Albania,2006,15-24 years,female,0.0
Albania,2006,25-34 years,female,0.0
Albania,2006,35-54 years,female,0.0
Albania,2006,5-14 years,female,0.0
Albania,2006,55-74 years,female,0.0
Albania,2006,75+ years,female,0.0
Albania,2006,15-24 years,male,0.0
Albania,2006,25-34 years,male,0.0
Albania,2006,35-54 years,male,0.0
Albania,2006,5-14 years,male,0.0
Albania,2006,55-74 years,male,0.0
Albania,2006,75+ years,male,0.0
Albania,2007,75+ years,male,18.88
Albania,2007,35-54 years,male,7.66
Albania,2007,55-74 years,male,6.25
Albania,2007,75+ years,female,5.23
Albania,2007,25-34 years,male,5.22
Albania,2007,15-24 years,female,4.63
Albania,2007,15-24 years,male,4.51
Albania,2007,25-34 years,female,4.36
Albania,2007,55-74 years,female,4.07
Albania,2007,35-54 years,female,3.57
Albania,2007,5-14 years,male,1.47
Albania,2007,5-14 years,female,0.0
Albania,2008,25-34 years,male,12.15
Albania,2008,35-54 years,male,9.81
Albania,2008,55-74 years,male,9.18
Albania,2008,75+ years,female,8.42
Albania,2008,15-24 years,female,7.24
Albania,2008,25-34 years,female,4.93
Albania,2008,35-54 years,female,4.82
